Group,Subgroup,Language,State,Speakers,Margin of Error (Number of Speakers),"Speak English less than ""Very Well""",Margin of Error (Speak English Less than Very Well)
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Oklahoma,85,65,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Oklahoma,130,150,60,90
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Oklahoma,280,95,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Oklahoma,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Oklahoma,110,102,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Oklahoma,50,56,,
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Oklahoma,86,74,14,21
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Oklahoma,2148,372,819,201
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Oklahoma,1899,413,273,117
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Oklahoma,834,302,249,126
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Oklahoma,1781,451,633,323
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Oklahoma,285,157,120,81
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Oklahoma,755,263,230,103
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Oklahoma,115,95,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Oklahoma,245,180,45,35
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Kashmiri,Oklahoma,15,31,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Oklahoma,245,156,50,51
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,Oklahoma,20,27,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,Oklahoma,70,67,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Oklahoma,110,82,65,56
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Romany,Oklahoma,25,25,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Oklahoma,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,Oklahoma,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,Oklahoma,75,98,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Catalonian,Oklahoma,55,67,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Oklahoma,230,135,70,76
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,Oklahoma,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Oklahoma,100,63,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,Oklahoma,85,100,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,Oklahoma,185,145,55,59
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Oklahoma,15,16,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Oklahoma,75,81,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,Oklahoma,85,66,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,Oklahoma,50,58,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Oklahoma,6915,637,3520,428
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Hakka,Oklahoma,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Oklahoma,445,168,190,91
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Oklahoma,965,248,465,181
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Oklahoma,200,89,120,77
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Oklahoma,2007,414,747,224
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Oklahoma,4498,588,2339,353
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Oklahoma,404,190,235,138
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Oklahoma,3215,633,1089,275
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Oklahoma,991,261,545,185
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Oklahoma,1610,367,797,244
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Oklahoma,15084,1222,8935,783
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kazakh,Oklahoma,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kirghiz,Oklahoma,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Azerbaijani,Oklahoma,70,74,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Oklahoma,715,328,220,158
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Oklahoma,1145,567,170,95
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Oklahoma,120,95,45,46
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Oklahoma,2375,481,660,234
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Oklahoma,450,145,60,48
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Oklahoma,1400,379,1110,324
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,Oklahoma,125,108,95,77
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kachin,Oklahoma,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Paleo-siberian,Oklahoma,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Oklahoma,3381,506,994,257
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Oklahoma,420,146,160,93
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,Oklahoma,215,118,45,46
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,Oklahoma,270,112,95,56
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,Oklahoma,85,54,25,25
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pangasinan,Oklahoma,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,Oklahoma,60,49,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Micronesian,Oklahoma,260,105,175,99
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Oklahoma,360,213,40,36
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,Oklahoma,1095,323,420,203
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Palau,Oklahoma,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ponapean,Oklahoma,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Trukese,Oklahoma,225,101,130,81
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Yapese,Oklahoma,35,61,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Melanesian,Oklahoma,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,Oklahoma,200,108,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Tongan,Oklahoma,35,36,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Maori,Oklahoma,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,Oklahoma,165,105,40,67
ALL OTHER LANGUAGES,Navajo,Navajo,Oklahoma,169,64,41,31
ALL OTHER LANGUAGES,Other Native North American languages,Aleut,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Algonquian,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Arapaho,Oklahoma,20,20,,
ALL OTHER LANGUAGES,Other Native North American languages,Cheyenne,Oklahoma,290,120,20,19
ALL OTHER LANGUAGES,Other Native North American languages,Delaware,Oklahoma,50,37,,
ALL OTHER LANGUAGES,Other Native North American languages,Fox,Oklahoma,80,59,,
ALL OTHER LANGUAGES,Other Native North American languages,Kickapoo,Oklahoma,320,154,110,85
ALL OTHER LANGUAGES,Other Native North American languages,Miami,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Potawatomi,Oklahoma,85,61,,
ALL OTHER LANGUAGES,Other Native North American languages,Shawnee,Oklahoma,65,40,,
ALL OTHER LANGUAGES,Other Native North American languages,Puget Sound Salish,Oklahoma,50,60,,
ALL OTHER LANGUAGES,Other Native North American languages,Apache,Oklahoma,80,95,,
ALL OTHER LANGUAGES,Other Native North American languages,Kiowa,Oklahoma,590,178,25,24
ALL OTHER LANGUAGES,Other Native North American languages,Yuchi,Oklahoma,150,135,,
ALL OTHER LANGUAGES,Other Native North American languages,Crow,Oklahoma,45,65,,
ALL OTHER LANGUAGES,Other Native North American languages,Mandan,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,Oklahoma,185,126,,
ALL OTHER LANGUAGES,Other Native North American languages,Chiwere,Oklahoma,65,51,20,21
ALL OTHER LANGUAGES,Other Native North American languages,Winnebago,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Kansa,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Omaha,Oklahoma,15,20,,
ALL OTHER LANGUAGES,Other Native North American languages,Osage,Oklahoma,385,150,,
ALL OTHER LANGUAGES,Other Native North American languages,Ponca,Oklahoma,155,62,25,26
ALL OTHER LANGUAGES,Other Native North American languages,Quapaw,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Choctaw,Oklahoma,2515,287,330,79
ALL OTHER LANGUAGES,Other Native North American languages,Muskogee,Oklahoma,3120,390,370,91
ALL OTHER LANGUAGES,Other Native North American languages,Keres,Oklahoma,50,52,,
ALL OTHER LANGUAGES,Other Native North American languages,Wyandot,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,Oklahoma,4785,449,695,131
ALL OTHER LANGUAGES,Other Native North American languages,Caddo,Oklahoma,80,93,,
ALL OTHER LANGUAGES,Other Native North American languages,Pawnee,Oklahoma,65,40,,
ALL OTHER LANGUAGES,Other Native North American languages,Wichita,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Comanche,Oklahoma,790,235,75,52
ALL OTHER LANGUAGES,Other Native North American languages,Paiute,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Ute,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Shoshoni,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Pima,Oklahoma,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,Oklahoma,340,194,35,22
ALL OTHER LANGUAGES,Hungarian,Hungarian,Oklahoma,176,86,46,30
ALL OTHER LANGUAGES,Arabic,Arabic,Oklahoma,4111,740,1341,449
ALL OTHER LANGUAGES,Hebrew,Hebrew,Oklahoma,489,181,13,17
ALL OTHER LANGUAGES,African languages,Amharic,Oklahoma,575,323,240,173
ALL OTHER LANGUAGES,African languages,Chadic,Oklahoma,,,,
ALL OTHER LANGUAGES,African languages,Sudanic,Oklahoma,90,121,10,29
ALL OTHER LANGUAGES,African languages,Swahili,Oklahoma,690,269,50,63
ALL OTHER LANGUAGES,African languages,Bantu,Oklahoma,340,164,55,60
ALL OTHER LANGUAGES,African languages,Mande,Oklahoma,80,87,,
ALL OTHER LANGUAGES,African languages,Fulani,Oklahoma,80,72,,
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",Oklahoma,2470,505,450,203
ALL OTHER LANGUAGES,African languages,Efik,Oklahoma,90,69,,
ALL OTHER LANGUAGES,African languages,African,Oklahoma,50,51,35,44
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,Oklahoma,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,Oklahoma,40,36,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,Oklahoma,65,81,,
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,Oklahoma,55,54,55,54
ALL OTHER LANGUAGES,Other and unspecified languages,Oto - Manguen,Oklahoma,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Quechua,Oklahoma,285,363,285,363
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,Oklahoma,140,66,,
ENGLISH,English,English,Oregon,3096638,6214,,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Oregon,319160,3362,143040,3384
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Oregon,11275,892,1485,316
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Oregon,524,195,50,48
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Oregon,2816,364,385,128
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Oregon,2005,417,475,162
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Oregon,15170,1066,1740,256
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),Luxembourgian,Oregon,,,,
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Oregon,154,118,3,7
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Oregon,2080,285,195,84
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Oregon,345,171,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Frisian,Oregon,,,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Oregon,955,266,100,122
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Oregon,660,253,75,50
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Oregon,1000,290,55,54
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Oregon,,,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Oregon,850,215,171,81
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Oregon,21884,2124,9177,1021
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Oregon,1183,306,323,155
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Oregon,1205,446,610,251
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Oregon,220,105,45,45
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Oregon,375,170,190,119
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bielorussian,Oregon,35,53,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Oregon,5955,1327,3065,618
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Oregon,735,188,95,75
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Oregon,115,82,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Oregon,570,288,235,185
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Oregon,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovene,Oregon,,,,
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Oregon,475,251,110,62
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Oregon,3375,655,1231,328
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Oregon,4783,700,701,270
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Oregon,621,337,179,156
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Oregon,813,331,118,114
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Oregon,95,64,45,36
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Oregon,890,386,270,172
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Oregon,1190,544,415,205
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Oregon,695,330,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Oriya,Oregon,100,82,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Oregon,1045,492,885,468
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,Oregon,80,87,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,Oregon,465,395,195,158
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Oregon,355,232,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Romany,Oregon,15,17,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Oregon,45,54,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,Oregon,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,Oregon,120,160,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Catalonian,Oregon,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Oregon,5665,955,2350,667
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,Oregon,20,19,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Oregon,460,247,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,Oregon,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,Oregon,305,194,140,102
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Oregon,165,102,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Oregon,170,98,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,Oregon,165,145,80,66
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Kurdish,Oregon,230,184,75,61
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Oregon,18555,1379,9970,928
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Hakka,Oregon,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Oregon,3425,582,1910,402
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Oregon,3855,592,1405,334
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Oregon,555,200,255,150
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Oregon,9313,904,3226,452
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Oregon,10382,999,4868,553
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Oregon,2947,665,1434,356
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Oregon,799,284,249,134
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Oregon,2130,482,1131,283
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Oregon,2594,580,1165,299
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Oregon,25813,1430,16415,1180
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kazakh,Oregon,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Oregon,645,255,280,164
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Oregon,1605,541,430,312
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Oregon,745,335,110,94
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Oregon,400,176,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Oregon,1680,441,190,115
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,Oregon,215,105,70,48
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Oregon,895,510,680,378
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,Oregon,155,129,110,123
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mien,Oregon,1500,448,755,278
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Paleo-siberian,Oregon,195,226,115,153
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Oregon,8452,797,2388,388
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Oregon,920,269,300,155
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,Oregon,95,58,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,Oregon,295,128,85,61
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,Oregon,90,69,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,Oregon,330,275,160,176
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pampangan,Oregon,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Micronesian,Oregon,550,325,85,91
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Carolinian,Oregon,70,75,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Oregon,420,198,65,81
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,Oregon,565,227,160,103
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Mokilese,Oregon,25,38,25,38
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Palau,Oregon,390,208,85,65
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ponapean,Oregon,105,123,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Trukese,Oregon,1905,613,810,369
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Woleai-Ulithi,Oregon,55,108,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Yapese,Oregon,175,160,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,Oregon,1220,467,300,196
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Tongan,Oregon,735,413,170,128
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Fijian,Oregon,45,46,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Rarotongan,Oregon,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Nukuoro,Oregon,95,119,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,Oregon,240,127,50,51
ALL OTHER LANGUAGES,Navajo,Navajo,Oregon,326,186,79,68
ALL OTHER LANGUAGES,Other Native North American languages,Eskimo,Oregon,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Inupik,Oregon,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Yupik,Oregon,35,28,,
ALL OTHER LANGUAGES,Other Native North American languages,Blackfoot,Oregon,40,47,,
ALL OTHER LANGUAGES,Other Native North American languages,Cheyenne,Oregon,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Fox,Oregon,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,Oregon,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Salish,Oregon,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Okanogan,Oregon,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Chasta Costa,Oregon,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Apache,Oregon,,,,
